account_id,ip_shared_ratio,ip_score,concurrent_trading_ratio,concurrent_score,price_similarity_ratio,price_score,mean_leverage,leverage_score,organized_score,total_trades,risk_level
A_78e950c1a2,0.0,0.0,0.05489614243323442,0.07842306061890632,1.0,1.0,61.67359050445104,1.0,0.3735269181856719,674,Medium
A_59b90616d6,0.0,0.0,0.05380577427821522,0.07686539182602176,1.0,1.0,81.77320954907162,1.0,0.37305961754780653,1524,Medium
A_4943ad62b4,0.047619047619047616,0.05952380952380952,0.3435643564356436,0.4908062234794909,1.0,1.0,16.487128712871286,0.0,0.3680752003771806,1010,Medium
A_8860be39b3,0.05263157894736842,0.06578947368421052,0.33472803347280333,0.4781829049611476,1.0,1.0,9.295774647887324,0.0,0.366481187277818,239,Medium
A_9a5e1e7fac,0.045454545454545456,0.056818181818181816,0.035889872173058016,0.051271245961511454,0.9863013698630136,1.0,45.636811023622045,0.8545603674540682,0.36345179254292725,2034,Medium
A_06d5bd3da9,0.0,0.0,0.10650887573964497,0.1521555367709214,1.0,1.0,39.97572815533981,0.6658576051779936,0.34552530180797547,338,Medium
A_4081f88bb0,0.011111111111111112,0.013888888888888888,0.05707584050039093,0.08153691500055849,0.9863013698630136,1.0,37.311053984575835,0.5770351328191945,0.31587745553415786,1279,Medium
A_1a7c006b71,0.0,0.0,0.12359550561797752,0.1765650080256822,0.9545454545454546,1.0,31.44632768361582,0.38154425612052734,0.31020114082578376,356,Medium
A_94cf7bdada,0.0,0.0,0.23076923076923078,0.3296703296703297,1.0,1.0,18.205128205128204,0.0,0.29890109890109895,78,Low
A_3cab2969e5,0.0,0.0,0.047180667433831994,0.06740095347690285,1.0,1.0,34.32808988764045,0.4776029962546817,0.2918607354812731,869,Low
A_dae7cf0dd9,0.0,0.0,0.20103092783505155,0.2871870397643594,1.0,1.0,9.911764705882353,0.0,0.28615611192930784,194,Low
A_68f6513965,0.0,0.0,0.18604651162790697,0.26578073089701,1.0,1.0,18.752906976744185,0.0,0.279734219269103,688,Low
A_1f97e16953,0.012345679012345678,0.015432098765432098,0.1658291457286432,0.23689877961234745,0.9393939393939394,1.0,20.494949494949495,0.016498316498316495,0.2789456159263529,199,Low
A_64a414bc30,0.0,0.0,0.1633605600933489,0.23337222870478416,1.0,1.0,20.515151515151516,0.017171717171717185,0.27258742618719284,857,Low
A_e8e9d04acc,0.0,0.0,0.031073446327683617,0.0443906376109766,1.0,1.0,31.178571428571427,0.37261904761904757,0.26921004842615015,1062,Low
A_9788666227,0.0,0.0,0.12466666666666666,0.1780952380952381,0.9946524064171123,1.0,22.612732095490717,0.08709106984969056,0.26649223190602506,1500,Low
A_2ba62f7b20,0.0,0.0,0.09317343173431734,0.1331049024775962,1.0,1.0,24.329457364341085,0.14431524547803617,0.2615787575649843,1084,Low
A_6960c2ee08,0.0,0.0,0.13903061224489796,0.19861516034985424,1.0,1.0,13.270408163265307,0.0,0.2595845481049563,784,Low
A_5cd5d675fd,0.0,0.0,0.1301169590643275,0.18588137009189643,1.0,1.0,18.017543859649123,0.0,0.2557644110275689,684,Low
A_48fbd03d61,0.038461538461538464,0.04807692307692308,0.08823529411764706,0.12605042016806725,1.0,1.0,1.475,0.0,0.25464204912734323,170,Low
A_ef035876f1,0.0,0.0,0.012048192771084338,0.017211703958691912,1.0,1.0,29.02758620689655,0.30091954022988504,0.25030144222209033,581,Low
A_0bfb0b4311,0.018518518518518517,0.023148148148148147,0.08754129306276545,0.12505899008966495,1.0,1.0,15.32198712051518,0.0,0.24561954887875134,4238,Low
A_ebdb869fd3,0.005649717514124294,0.007062146892655367,0.017964071856287425,0.02566295979469632,0.9523809523809523,1.0,25.835616438356166,0.1945205479452055,0.23934872154261913,1169,Low
A_c462ca9c6b,0.018518518518518517,0.023148148148148147,0.07035445757250268,0.10050636796071812,0.9923664122137404,1.0,10.749731471535982,0.0,0.23825376224006728,1862,Low
A_7e27164ab6,0.0,0.0,0.07686084142394822,0.10980120203421176,1.0,1.0,8.332339791356185,0.0,0.23294036061026355,1236,Low
A_9366ce5043,0.0,0.0,0.068,0.09714285714285716,0.9803921568627451,1.0,16.589333333333332,0.0,0.22914285714285715,750,Low
A_33849d660b,0.0,0.0,0.06335616438356165,0.09050880626223093,1.0,1.0,10.511029411764707,0.0,0.2271526418786693,584,Low
A_507a86d368,0.0,0.0,0.05851528384279476,0.08359326263256395,0.9253731343283582,1.0,3.5807017543859647,0.0,0.2250779787897692,1145,Low
A_0e72128b0d,0.0,0.0,0.057692307692307696,0.08241758241758243,1.0,1.0,4.818565400843882,0.0,0.22472527472527473,364,Low
A_26ffea8fd9,0.010416666666666666,0.013020833333333332,0.03957528957528957,0.056536127964699395,1.0,1.0,7.899099099099099,0.0,0.2215181300560765,1036,Low
A_60a63690ae,0.0,0.0,0.03789893617021277,0.05414133738601824,1.0,1.0,20.824468085106382,0.027482269503546063,0.2203647416413374,1504,Low
A_522c68dd44,0.0,0.0,0.04555638536221061,0.06508055051744373,0.9836065573770492,1.0,8.304084720121029,0.0,0.21952416515523313,1339,Low
A_ae270b7bf6,0.0,0.0,0.04214328717639976,0.060204695966285374,1.0,1.0,3.848101265822785,0.0,0.2180614087898856,1661,Low
A_359a23d0bd,0.0,0.0,0.038461538461538464,0.05494505494505495,1.0,1.0,11.88888888888889,0.0,0.2164835164835165,156,Low
A_3943c4c480,0.0,0.0,0.035926526202052944,0.051323608860075635,1.0,1.0,19.29897463572585,0.0,0.2153970826580227,3702,Low
A_b2bc71e131,0.0,0.0,0.03588516746411483,0.05126452494873548,0.8,1.0,1.4615384615384615,0.0,0.21537935748462064,418,Low
A_3b4f58349f,0.0,0.0,0.03409090909090909,0.048701298701298704,1.0,1.0,1.6136363636363635,0.0,0.2146103896103896,176,Low
A_1b6957bd93,0.0,0.0,0.03350970017636684,0.047871000251952636,1.0,1.0,6.567073170731708,0.0,0.2143613000755858,567,Low
A_cab220ef3c,0.0,0.0,0.03160787906550618,0.04515411295072312,1.0,1.0,5.459293394777266,0.0,0.21354623388521696,2183,Low
A_89cf7b96c2,0.0,0.0,0.03125,0.044642857142857144,1.0,1.0,1.0,0.0,0.21339285714285716,768,Low
A_ace0a74506,0.0,0.0,0.027153558052434457,0.03879079721776351,0.9655172413793104,1.0,2.432584269662921,0.0,0.21163723916532906,1068,Low
A_2db64f326b,0.0,0.0,0.016286644951140065,0.02326663564448581,1.0,1.0,4.970059880239521,0.0,0.20697999069334574,614,Low
A_f2ab53d645,0.0,0.0,0.012995896032831737,0.0185655657611882,0.9473684210526315,1.0,3.397391901166781,0.0,0.20556966972835647,2924,Low
A_0ad0445c5a,0.0,0.0,0.022058823529411766,0.03151260504201681,0.6666666666666666,0.8333333333333333,8.176470588235293,0.0,0.1761204481792717,408,Low
A_3cfd9478f0,0.0,0.0,0.00946372239747634,0.013519603424966203,1.0,0.0,73.33552631578948,1.0,0.15405588102748985,317,Low
A_7ba723a337,0.0,0.0,0.03508771929824561,0.05012531328320802,0.75,0.0,25.75409836065574,0.19180327868852462,0.043808085788241094,114,Low
A_946b028740,0.03571428571428571,0.04464285714285714,0.0,0.0,0.0,0.0,17.307692307692307,0.0,0.015624999999999997,129,Low
A_7620582c70,0.0,0.0,0.006172839506172839,0.008818342151675485,1.0,0.0,5.0,0.0,0.0026455026455026454,162,Low
A_40cfe40ac2,0.0,0.0,0.005611672278338945,0.00801667468334135,1.0,0.0,2.975806451612903,0.0,0.002405002405002405,891,Low
A_cf3fcea289,0.0,0.0,0.00141643059490085,0.002023472278429786,1.0,0.0,2.2551546391752577,0.0,0.0006070416835289357,706,Low
