account_id,funding_arbitrage_score,organized_trading_score,bonus_abuse_score,quant_anomaly_score,mean_holding_minutes,funding_timing_ratio,concurrent_trading_ratio,ip_shared_ratio,total_reward,sharpe_ratio,win_rate,final_risk_score,final_risk_level,pattern_count
A_dcd87c6c96,0.1144492327652767,0.413754427390791,0.283763721796209,0.2,137.64180540376984,0.2066115702479339,0.1487603305785124,0.0,584.82338025,-0.8052573366449924,0.4047619047619047,0.26590156377560165,Low,1
A_8860be39b3,0.3499767040562436,0.366481187277818,0.0250236666695399,0.175,79.6170949943662,0.1841004184100418,0.3347280334728033,0.0526315789473684,10.0,2.1896085250821353,0.5211267605633803,0.2645161600980173,Low,0
A_27fd29fd55,0.3225641875742105,0.3749350649350649,0.1213127297024952,0.06,53.02829444710145,0.3090909090909091,0.0581818181818181,0.0,10.0,-0.714819481297702,0.6086956521739131,0.2612590749400349,Low,0
A_9a5e1e7fac,0.3533213155521028,0.3634517925429272,0.0,0.12,37.31727748812336,0.2925270403146509,0.035889872173058,0.0454545454545454,0.0,-1.0166784872725942,0.3326771653543307,0.25120452205565535,Low,0
A_3cab2969e5,0.4044877755242868,0.2918607354812731,0.0,0.175,9.559071414268868,0.2566168009205984,0.0471806674338319,0.0,0.0,-2.796699210150252,0.6721698113207547,0.2497475900757316,Low,1
A_f2ab53d645,0.2225776125055407,0.2055696697283564,0.5202551091324819,0.0,106.75685428574695,0.2147742818057455,0.0129958960328317,0.0,208.98880080333333,-1.367945639376356,0.6973232669869595,0.24277368998308335,Low,1
A_8413984c30,0.3447451385807234,0.3941259398496241,0.0,0.0,84.43229756299019,0.2017543859649122,0.3508771929824561,0.1,0.0,1.966323979517084,0.4852941176470588,0.24136762052158545,Low,0
A_3b4f58349f,0.3149640582349337,0.2146103896103896,0.1317200795710812,0.3,66.85680418901515,0.3636363636363636,0.034090909090909,0.0,30.0,0.2681563454319262,0.0681818181818181,0.24094686974833268,Low,0
A_9788666227,0.3492764591249149,0.266492231906025,0.0406254462687485,0.22,33.828874411371764,0.2406666666666666,0.1246666666666666,0.0,10.0,-1.7445271171998724,0.7453083109919572,0.2391803081583329,Low,0
A_ebdb869fd3,0.1082159512351866,0.2393487215426191,0.518562874251497,0.12,2064.89610517273,0.2164242942686056,0.0179640718562874,0.0056497175141242,159.991358,-1.718921114520256,0.7103448275862069,0.23794941276077206,Low,1
