account_id,sharpe_score,winrate_score,pf_score,entropy_score,concentration_score,kelly_score,quant_anomaly_score,total_positions,sharpe_ratio,max_drawdown,win_rate,profit_factor,avg_holding_minutes,median_holding_minutes,time_entropy,position_concentration_hhi,avg_leverage,max_leverage,leverage_std,kelly_optimal,kelly_deviation,consistency_score,roi_pct,total_pnl,avg_trade_interval_min,trade_interval_cv,risk_level
A_e95b2c5030,0.0,0.0,1.0,0.6,0.0,0.0,0.29000000000000004,35,1.8596610501675648,-1.4184397163120432,0.42857142857142855,5.0755648480355555,0.47888905523809516,0.2325172,0.4092670905602947,0.40897959183673466,62.82857142857143,100,43.645285247890726,0.33475123506630944,0.2935344792194049,0.31434008978040373,0.1154178930825695,3189.6899779000114,2938.0491382279406,2.775217422167726,Low
A_78e950c1a2,0.0,0.6,0.0,0.0,1.0,0.6,0.28,337,-0.5755378080952853,-10.287179120243271,0.3264094955489614,0.2847673627064945,9.736314781454004,0.5503579666666667,0.8660627323511296,0.9131277021018058,61.67359050445104,100,41.78103690085236,0.0,0.6167359050445104,0.03135154213913338,-0.020689029857984754,-299.47040390001087,700.9820981983135,2.4494847066327132,Low
A_59b90616d6,0.0,0.6,0.0,0.0,0.5,1.0,0.27,737,-0.8139096611791065,-24.360693780901695,0.35278154681139756,0.39290145235834,39.687976321370414,1.445076,0.8802692085139772,0.7839898816022273,83.05834464043419,100,34.12012210678837,0.0,0.8305834464043419,0.029980747702191824,-0.02737371402125888,-1907.2177793000346,359.5540647325182,3.697324992578573,Low
A_ace0a74506,0.0,1.0,0.0,0.0,0.5,0.0,0.25,534,-0.9922325170400983,-64.22909219105473,0.09550561797752809,0.14278634241594299,229.0763585102996,0.05251995833333333,0.8038970519626283,0.7416361570508774,2.432584269662921,10,3.295648684380517,0.0,0.024325842696629213,0.04293810037925837,-0.03178583415805125,-2794.823589399998,279.40984708014383,3.9846029217248016,Low
A_3943c4c480,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1849,-3.306672610994479,-99.95899493255426,0.4488912925905895,0.8326729275867123,722.6913748206598,21.965957033333332,0.9405499008818912,0.30118132058578434,19.274743104380747,100,29.110333017116282,0.0,0.19274743104380745,0.07689936304638323,-0.07231856075873251,-260.39943479999914,183.63349198065472,25.76275195253106,Low
A_e8e9d04acc,1.0,0.0,0.0,0.0,0.0,0.0,0.25,530,-3.9758502614984113,-18.814056093271077,0.45660377358490567,0.34306344397943256,14.807740033584905,1.48464515,0.8651545314024459,0.5047419010323958,31.183018867924527,100,25.700074921731844,0.0,0.3118301886792453,0.17269989949772008,-0.03773195029365196,-1929.6828665000176,352.152476594392,2.996291187550162,Low
A_b2bc71e131,1.0,0.0,0.0,0.0,0.0,0.0,0.25,208,4.52083109382368,-18.229951116502082,0.5384615384615384,1.12023987485576,573.4428575310898,60.99057665000001,0.9351663653854885,0.027274408284023676,1.4615384615384615,25,2.653675154309683,0.057795253902733865,0.04317986928734925,0.31346323685563904,0.03818515590870232,451.9681000000027,1126.4243354625603,3.831885400968883,Low
A_64a414bc30,0.0,0.6,0.0,0.0,1.0,0.0,0.22,428,0.09458936804493707,-41.27216353798331,0.7780373831775701,0.7357601555008583,165.83798113049062,15.161409875,0.9040214562201058,0.9906978775438904,20.516355140186917,60,4.802147625041335,0.0,0.20516355140186918,0.004572149678240527,-0.07297839676940127,-464.9484681999993,92.52192959777518,2.484054374148505,Low
A_dae7cf0dd9,0.0,0.6,0.0,0.0,1.0,0.0,0.22,90,-0.352080872725945,-22.680086560376893,0.7222222222222222,0.74551344377613,454.0066563105555,50.56412410833333,0.8449207322519434,1.0,9.9,10,0.9486832980505141,0.0,0.099,0.03711258261312808,-0.09097562848010368,-23.250812000000096,228.5826759518727,4.833443305583577,Low
A_9788666227,0.0,0.6,0.0,0.0,1.0,0.0,0.22,746,-1.7445271171998724,-34.37135773446317,0.7453083109919572,0.6733022634886392,33.82887441137176,6.247104524999999,0.9759663928647071,0.8452802794528818,22.640750670241285,100,14.449157388387585,0.0,0.22640750670241286,0.0638716757936878,-0.061562716492302924,-18055.527486300034,76.32591430483221,3.0837856033719797,Low
