account_id,total_funding_fee,mean_funding_fee,std_funding_fee,funding_count,min_funding_fee,max_funding_fee,mean_fee_rate,std_fee_rate
A_5cd5d675fd,0.18022937848966908,0.0016534805366024685,0.015268063167663187,109,-0.0788724814015094,0.0607508810829197,4.8928838184309174e-05,6.011860163664627e-05
A_3cab2969e5,0.11076455679976549,0.015823508114252212,0.023450375296844055,7,-7.05406703512e-05,0.056463596826718,6.490376641482857e-05,5.795349929427421e-05
A_e27beda014,0.10686554801140591,0.026716387002851477,0.1095762856805161,4,-0.12997879796,0.1118344372598023,1.6198125886125003e-05,6.651384264884753e-05
A_853f70d58b,0.05552682125593399,0.0021356469713820765,0.047862338621544265,26,-0.1089225,0.1037357636278688,8.668423547757692e-06,6.380960505363549e-05
A_94cf7bdada,0.0087094348395916,0.0021773587098979,0.029945920512443696,4,-0.0422742795956643,0.0200609337756575,0.0001785442542516,4.680744774309414e-05
A_3cfd9478f0,0.0036629802423685034,3.7377349411923506e-05,0.00651642654333638,98,-0.0100468756877725,0.0604200180188095,5.925637181066429e-05,9.953616181835627e-05
A_78e950c1a2,-0.09980485693010928,-0.0026974285656786294,0.028199069056878193,37,-0.1648122480646539,0.0102719760339681,6.543816452834449e-05,5.016988719278008e-05
A_3b4f58349f,-0.140542891214441,-0.011711907601203416,0.07466784668475894,12,-0.1089225,0.1037357636278688,9.048295623141667e-06,7.244153886923331e-05
A_55021b4ae2,-0.22084534283273982,-0.010516444896797135,0.05593595564814597,21,-0.2544675,0.0048218867872565,3.277818320539543e-05,4.097763685262486e-05
A_946b028740,-0.2297306861232133,-0.006756784885976861,0.043659174028812225,34,-0.2528913385035821,0.0133389096546005,-6.95172093186706e-05,0.0007254663398325263
A_68f6513965,-1.9448457576999145,-0.019448457576999145,0.09057846455322581,100,-0.2087571908649815,0.1919657090617987,0.000118837332510356,6.301970721614398e-05
A_dae7cf0dd9,-3.936241855125538,-0.051120024092539455,0.05689579802325476,77,-0.2695040654588963,0.1263409355041503,0.00015879985383222988,5.184752935801723e-05
A_ef035876f1,-5.036373684787258,-0.04232246793938872,0.12462612814207474,119,-0.8246754726490066,0.0671831674977047,-0.0024483828143561535,0.005045798265111931
A_9788666227,-10.86283030056528,-0.1697317234463325,4.3285064187098135,64,-21.809444605609,8.0467941162,4.823654564771875e-05,0.00017616349641069268
A_1a7c006b71,-11.28450475500361,-0.13433934232147154,0.5154922135887358,84,-3.2240458088707222,0.3541511761768709,0.00012748655109600358,0.00013302011080466514
A_e8e9d04acc,-15.908816846473657,-0.7231280384760753,1.1431212732337768,22,-1.5302084497034232,1.241652038298988,0.00016622873133419547,4.410936015877889e-05
A_64a414bc30,-25.452137540320997,-0.1857820258417591,0.18394709392301326,137,-0.8800403687888836,0.3148837571148923,0.000133867497567708,5.1768146870013773e-05
A_06d5bd3da9,-53.88340165620804,-0.023437756266293186,0.43242835364740406,2299,-7.3707266880182045,5.354530302304683,-0.00029262849948913724,0.0016295006868375214
A_0ad0445c5a,-239.61799465457943,-9.984083110607477,26.8712279972664,24,-96.04190278064515,1.3675495790269043,0.0012983946434689875,0.00559602157311569
A_4081f88bb0,-731.2672682557472,-1.2127152044042242,15.743634078269187,603,-103.484151,138.7800304472931,-4.19307628347755e-05,0.0010460030257510972
A_d444580218,-5923.192704922875,-31.174698446962502,91.67148128188184,190,-592.9931502,249.60842448821677,-0.001954600749633868,0.00449278004478161
A_f96ede8d34,-9649.186412726396,-5.934308986916603,42.06254690883937,1626,-596.4303444,249.40836776972432,-0.0004015594771707152,0.0020777107173359332
A_cf3fcea289,-9789.086964719698,-1.795174576328571,40.80977124815316,5453,-747.0896094024669,487.454395143063,-0.0003820068031144734,0.002269033312834995
A_cab220ef3c,-16488.415770611624,-3.0500214152074774,95.1590392223491,5406,-1431.7447110993376,1292.8045290189375,-0.0003089859802255304,0.0015787882193126193
A_2db64f326b,-21989.199131351863,-67.65907425031342,176.01632945047538,325,-961.1721628940741,65.59104826719101,-0.00011635256092141478,0.0008021106991555077
